city,province
Karachi,37
Lahore,1
Faisalabad,1
Rawalpindi,1
Gujranwala,1
Peshawar,67
Multan,1
Saidu Sharif,67
Hyderabad City,37
Islamabad,156
Quetta,101
Bahawalpur,1
Sargodha,1
Sialkot City,1
Sukkur,37
Larkana,37
Chiniot,1
Shekhupura,1
Jhang City,1
Dera Ghazi Khan,1
Gujrat,1
Rahimyar Khan,1
Kasur,1
Mardan,67
Mingaora,67
Nawabshah,37
Sahiwal,1
Mirpur Khas,37
Okara,1
Mandi Burewala,1
Jacobabad,37
Saddiqabad,1
Kohat,67
Muridke,1
Muzaffargarh,1
Khanpur,1
Gojra,1
Mandi Bahauddin,1
Abbottabad,67
Turbat,101
Dadu,37
Bahawalnagar,1
Khuzdar,101
Pakpattan,1
Tando Allahyar,37
Ahmadpur East,1
Vihari,1
Jaranwala,1
New Mirpur,145
Kamalia,1
Kot Addu,1
Nowshera,67
Swabi,67
Khushab,1
Dera Ismail Khan,67
Chaman,101
Charsadda,67
Kandhkot,37
Chishtian,1
Hasilpur,1
Attock Khurd,1
Muzaffarabad,145
Mianwali,1
Jalalpur Jattan,1
Bhakkar,1
Zhob,101
Dipalpur,1
Kharian,1
Mian Channun,1
Bhalwal,1
Jamshoro,37
Pattoki,1
Harunabad,1
Kahror Pakka,1
Toba Tek Singh,1
Samundri,1
Shakargarh,1
Sambrial,1
Shujaabad,1
Hujra Shah Muqim,1
Kabirwala,1
Mansehra,67
Lala Musa,1
Chunian,1
Nankana Sahib,1
Bannu,67
Pasrur,1
Timargara,67
Parachinar,67
Chenab Nagar,1
Gwadar,101
Abdul Hakim,1
Hassan Abdal,1
Tank,67
Hangu,67
Risalpur Cantonment,67
Karak,67
Kundian,1
Umarkot,37
Chitral,67
Dainyor,134
Kulachi,67
Kalat,101
Kotli,145
Gilgit,134
Narowal,1
Khairpur Mir’s,37
Khanewal,1
Jhelum,1
Haripur,67
Shikarpur,37
Rawala Kot,145
Hafizabad,1
Lodhran,1
Malakand,67
Attock City,1
Batgram,67
Matiari,37
Ghotki,37
Naushahro Firoz,37
Alpurai,67
Bagh,145
Daggar,67
Leiah,1
Tando Muhammad Khan,37
Chakwal,1
Badin,37
Lakki,67
Rajanpur,1
Dera Allahyar,101
Shahdad Kot,37
Pishin,101
Sanghar,37
Upper Dir,67
Thatta,37
Dera Murad Jamali,101
Kohlu,101
Mastung,101
Dasu,67
Athmuqam,145
Loralai,101
Barkhan,101
Musa Khel Bazar,101
Ziarat,101
Gandava,101
Sibi,101
Dera Bugti,101
Eidgah,134
Uthal,101
Khuzdar,101
Chilas,134
Panjgur,101
Gakuch,134
Qila Saifullah,101
Kharan,101
Aliabad,134
Awaran,101
Dalbandin,101
